Name,Gender,Team,Salary,Bonus %,Senior Management,Start Date,Start Year,Year Of Service,Salary_normalized,Bonus %_normalized,Year Of Service_normalized,Salary_scaled,Bonus %_scaled,Year Of Service_scaled,Salary Category
Zane Jones,Male,Sales,30000.0,15.3,False,2007-09-06,2007,18,0.0,0.5789473684210527,0.8823529411764706,-2.0340223740012884,0.37015458080193986,1.3343114328417245,Low
Bob Brown,Female,Sales,64300.0,16.0,False,2016-06-21,2016,9,0.3229755178907721,0.6096491228070176,0.35294117647058826,-0.4676333432818409,0.4792298098321892,-0.3763442502886917,Medium
Omar White,Male,Marketing,104400.0,11.8,False,2011-12-26,2011,14,0.7005649717514124,0.4254385964912281,0.6470588235294117,1.3636261357808368,-0.17522156434930752,0.5740200181170951,High
Omar Miller,Female,Finance,96600.0,18.9,False,2015-08-25,2015,10,0.6271186440677965,0.736842105263158,0.411764705882353,1.007421050077872,0.9311129015289368,-0.18627139660753428,Medium
Leo Thomas,Female,Operations,82300.0,23.5,False,2005-07-12,2005,20,0.4924670433145009,0.9385964912280704,1.0,0.35437839295577006,1.6478929780134337,1.7144571402040394,Medium
Hank White,Male,Engineering,74700.0,23.3,False,2010-09-05,2010,15,0.4209039548022599,0.929824561403509,0.7058823529411764,0.007306770988778764,1.6167286268619339,0.7640928717982525,Medium
Carol Jackson,Non-binary,HR,92500.0,12.4,True,2019-04-02,2019,6,0.588512241054614,0.4517543859649123,0.1764705882352941,0.8201850434904162,-0.08172851089480804,-0.9465628113321637,Medium
Quinn Brown,Female,Legal,68800.0,4.6,False,2019-02-16,2019,6,0.3653483992467043,0.10964912280701755,0.1764705882352941,-0.26213040922243813,-1.2971382058033023,-0.9465628113321637,Medium
Rosa Davis,Male,Engineering,38400.0,24.7,True,2015-07-05,2015,10,0.0790960451977401,0.9912280701754388,0.411764705882353,-1.6504168970904034,1.8348790849224326,-0.18627139660753428,Low
David Johnson,Male,Finance,74900.0,21.3,False,2006-06-15,2006,19,0.4227871939736347,0.8421052631578949,0.9411764705882353,0.016440234724752218,1.3050851153469354,1.5243842865228818,Medium
Liam Garcia,unknown,unknown,83900.0,4.9,False,2018-01-12,2018,7,0.5075329566854991,0.12280701754385967,0.23529411764705882,0.4274461028435577,-1.2503916790760525,-0.7564899576510064,Medium
Victor Moore,Male,Finance,99700.0,23.2,True,2006-11-04,2006,19,0.6563088512241055,0.9254385964912282,0.9411764705882353,1.1489897379854606,1.6011464512861837,1.5243842865228818,Medium
David Garcia,Male,Sales,43300.0,22.0,False,2008-09-15,2008,17,0.12523540489642182,0.8728070175438598,0.8235294117647058,-1.4266470355590537,1.4141603443771846,1.1442385791605671,Low
Nina White,Female,HR,72300.0,13.9,False,2021-09-11,2021,4,0.3983050847457627,0.5175438596491229,0.05882352941176472,-0.1022947938429027,0.15200412274144084,-1.3267085186944785,Medium
Rosa Moore,Male,Sales,73300.0,15.6,True,2007-12-16,2007,18,0.4077212806026365,0.5921052631578947,0.8823529411764706,-0.05662747516303542,0.41690110752918946,1.3343114328417245,Medium
Leo Johnson,Male,Engineering,50800.0,11.2,False,2017-02-23,2017,8,0.1958568738229755,0.3991228070175439,0.29411764705882354,-1.084142145460049,-0.2687146178038073,-0.566417103969849,Low
Jack Jackson,Female,Engineering,85700.0,3.3,False,2013-03-06,2013,12,0.524482109227872,0.05263157894736842,0.5294117647058822,0.5096472764673188,-1.499706488288051,0.19387431075478043,Medium
David Jackson,Male,HR,91400.0,9.7,True,2011-05-14,2011,14,0.5781544256120528,0.3333333333333333,0.6470588235294117,0.7699509929425623,-0.5024472514400562,0.5740200181170951,Medium
Paul White,Female,HR,68600.0,20.5,False,2019-05-18,2019,6,0.36346516007532953,0.8070175438596492,0.1764705882352941,-0.2712638729584116,1.1804277107409358,-0.9465628113321637,Medium
Hank Jackson,Male,Operations,120200.0,2.1,True,2015-01-12,2015,10,0.8493408662900188,0.0,0.411764705882353,2.08516977092274,-1.6866925951970504,-0.18627139660753428,High
Wendy Anderson,Male,Finance,68000.0,9.7,False,2006-08-27,2006,19,0.3578154425612053,0.3333333333333333,0.9411764705882353,-0.29866426416633196,-0.5024472514400562,1.5243842865228818,Medium
Yara Jackson,Female,Operations,65200.0,11.2,False,2019-12-11,2019,6,0.33145009416195853,0.3991228070175439,0.1764705882352941,-0.42653275646996036,-0.2687146178038073,-0.9465628113321637,Medium
Hank Jones,Female,Finance,64500.0,14.4,False,2018-08-13,2018,7,0.3248587570621469,0.5394736842105263,0.23529411764705882,-0.45849987954586746,0.22991500062019046,-0.7564899576510064,Medium
Paul Thomas,Female,Operations,57100.0,23.2,False,2015-04-21,2015,10,0.25517890772128055,0.9254385964912282,0.411764705882353,-0.7964380377768853,1.6011464512861837,-0.18627139660753428,Low
Rosa White,Female,Sales,62700.0,10.0,False,2007-07-23,2007,18,0.30790960451977395,0.34649122807017546,0.8823529411764706,-0.5407010531696286,-0.4557007247128063,1.3343114328417245,Medium
Uma Davis,Female,HR,43500.0,10.0,False,2021-11-11,2021,4,0.1271186440677966,0.34649122807017546,0.05882352941176472,-1.4175135718230802,-0.4557007247128063,-1.3267085186944785,Low
Zane Wilson,Male,Engineering,70800.0,19.0,False,2016-10-23,2016,9,0.38418079096045193,0.7412280701754386,0.35294117647058826,-0.17079577186270362,0.9466950771046869,-0.3763442502886917,Medium
Omar Anderson,Male,Finance,76300.0,12.4,False,2019-03-16,2019,6,0.43596986817325795,0.4517543859649123,0.1764705882352941,0.0803744808765664,-0.08172851089480804,-0.9465628113321637,Medium
Omar Thomas,Female,Finance,30000.0,7.2,True,2020-06-15,2020,5,0.0,0.22368421052631582,0.11764705882352944,-2.0340223740012884,-0.8920016408338042,-1.1366356650133211,Low
Iris Thomas,Female,Engineering,72800.0,12.4,False,2009-10-21,2009,16,0.40301318267419955,0.4517543859649123,0.7647058823529411,-0.07946113450296906,-0.08172851089480804,0.9541657254794098,Medium
Olivia Thomas,Non-binary,Operations,75900.0,5.2,True,2010-10-15,2010,15,0.4322033898305085,0.1359649122807018,0.7058823529411764,0.062107553404619494,-1.2036451523488028,0.7640928717982525,Medium
Alice Wilson,unknown,Finance,86300.0,6.1,True,2009-12-25,2009,16,0.5301318267419963,0.17543859649122806,0.7647058823529411,0.5370476676752391,-1.0634055721670534,0.9541657254794098,Medium
Grace Wilson,Male,Legal,101500.0,13.5,True,2007-09-04,2007,18,0.6732580037664784,0.5,0.8823529411764706,1.2311909116092217,0.08967542043844108,1.3343114328417245,High
Xander Smith,Female,Sales,93700.0,11.6,False,2005-01-11,2005,20,0.5998116760828625,0.4166666666666667,1.0,0.874985825906257,-0.20638591550080757,1.7144571402040394,Medium
Leo Davis,unknown,unknown,61400.0,12.4,False,2010-05-19,2010,15,0.2956685499058381,0.4517543859649123,0.7058823529411764,-0.6000685674534559,-0.08172851089480804,0.7640928717982525,Medium
Xander White,Female,Engineering,58800.0,10.3,False,2019-04-15,2019,6,0.2711864406779661,0.3596491228070176,0.1764705882352941,-0.7188035960211109,-0.40895419798555643,-0.9465628113321637,Low
Karen Williams,Female,HR,87700.0,15.4,True,2006-08-04,2006,19,0.5433145009416196,0.5833333333333335,0.9411764705882353,0.6009819138270533,0.3857367563776897,1.5243842865228818,Medium
Quinn Davis,Male,Legal,63000.0,16.5,False,2007-11-21,2007,18,0.3107344632768361,0.631578947368421,0.8823529411764706,-0.5270008575656684,0.5571406877109388,1.3343114328417245,Medium
Carol Williams,Female,Finance,48000.0,2.3,False,2021-12-13,2021,4,0.1694915254237288,0.008771929824561403,0.05882352941176472,-1.2120106377636775,-1.6555282440455505,-1.3267085186944785,Low
Alice Taylor,Female,Finance,127200.0,17.3,False,2016-01-22,2016,9,0.9152542372881356,0.6666666666666667,0.35294117647058826,2.4048410016818105,0.6817980923169383,-0.3763442502886917,High
Eve Moore,Male,Legal,68200.0,6.1,False,2022-09-19,2022,3,0.3596986817325801,0.17543859649122806,0.0,-0.2895308004303585,-1.0634055721670534,-1.5167813723756358,Medium
Grace Moore,Female,Engineering,61200.0,24.1,False,2019-06-02,2019,6,0.2937853107344633,0.9649122807017545,0.1764705882352941,-0.6092020311894294,1.7413860314679335,-0.9465628113321637,Medium
Iris Anderson,Male,Sales,30000.0,5.4,False,2016-04-14,2016,9,0.0,0.1447368421052632,0.35294117647058826,-2.0340223740012884,-1.172480801197303,-0.3763442502886917,Low
Grace Wilson,Female,Marketing,93700.0,11.5,False,2020-12-04,2020,5,0.5998116760828625,0.41228070175438597,0.11764705882352944,0.874985825906257,-0.22196809107655743,-1.1366356650133211,Medium
Hank Anderson,Male,Engineering,53300.0,4.0,True,2012-09-16,2012,13,0.2193973634651601,0.08333333333333334,0.588235294117647,-0.969973848760381,-1.3906312592578018,0.3839471644359378,Low
Bob Smith,Female,Marketing,75600.0,24.9,True,2018-11-21,2018,7,0.4293785310734463,1.0,0.23529411764705882,0.04840735780065931,1.8660434360739324,-0.7564899576510064,Medium
Paul Miller,Male,Legal,96300.0,13.6,False,2021-05-20,2021,4,0.6242937853107344,0.5043859649122808,0.05882352941176472,0.9937208544739119,0.10525759601419095,-1.3267085186944785,Medium
Wendy Jackson,Male,Operations,53600.0,15.7,True,2012-05-14,2012,13,0.22222222222222215,0.5964912280701755,0.588235294117647,-0.9562736531564208,0.43248328310493933,0.3839471644359378,Low
Xander Jones,Female,Marketing,76700.0,3.5,False,2019-12-27,2019,6,0.4397363465160075,0.06140350877192982,0.1764705882352941,0.09864140834851332,-1.4685421371365515,-0.9465628113321637,Medium
Carol Anderson,Male,Sales,108500.0,19.2,False,2018-05-15,2018,7,0.7391713747645949,0.75,0.23529411764705882,1.5508621423682927,0.9778594282561867,-0.7564899576510064,High
Hank Garcia,Male,Operations,30000.0,6.8,False,2022-01-03,2022,3,0.0,0.206140350877193,0.0,-2.0340223740012884,-0.954330343136804,-1.5167813723756358,Low
Priya Williams,Female,Marketing,57200.0,22.7,False,2011-01-08,2011,14,0.25612052730696794,0.9035087719298247,0.6470588235294117,-0.7918713059088985,1.523235573407434,0.5740200181170951,Low
Alice Williams,Female,Legal,55100.0,6.7,False,2007-08-16,2007,18,0.23634651600753293,0.2017543859649123,0.8823529411764706,-0.8877726751366198,-0.9699125187125538,1.3343114328417245,Low
Eve White,Female,Operations,70900.0,6.4,False,2016-12-10,2016,9,0.3851224105461393,0.1885964912280702,0.35294117647058826,-0.1662290399947169,-1.0166590454398035,-0.3763442502886917,Medium
Nate Williams,Female,Legal,73900.0,2.8,False,2007-08-04,2007,18,0.41337099811676087,0.03070175438596491,0.8823529411764706,-0.029227083955115057,-1.5776173661668007,1.3343114328417245,Medium
Alice Jones,Male,Marketing,51700.0,12.9,False,2018-12-18,2018,7,0.20433145009416193,0.4736842105263159,0.23529411764705882,-1.0430415586481685,-0.003817633016058415,-0.7564899576510064,Low
Zane Miller,Male,Legal,60600.0,15.0,False,2019-06-02,2019,6,0.28813559322033894,0.5657894736842106,0.1764705882352941,-0.6366024223973498,0.32340805407469,-0.9465628113321637,Medium
Nate Miller,Male,Sales,58000.0,3.5,False,2018-12-17,2018,7,0.2636534839924671,0.06140350877192982,0.23529411764705882,-0.7553374509650047,-1.4685421371365515,-0.7564899576510064,Low
Priya Wilson,Female,Marketing,67300.0,19.8,False,2011-11-13,2011,14,0.35122410546139354,0.7763157894736843,0.6470588235294117,-0.33063138724223906,1.0713524817106865,0.5740200181170951,Medium
Olivia White,Female,Marketing,79800.0,12.4,False,2021-04-04,2021,4,0.46892655367231634,0.4517543859649123,0.05882352941176472,0.24021009625610187,-0.08172851089480804,-1.3267085186944785,Medium
Zane Moore,unknown,unknown,95000.0,12.4,False,2016-02-26,2016,9,0.6120527306967984,0.4517543859649123,0.35294117647058826,0.9343533401900844,-0.08172851089480804,-0.3763442502886917,Medium
Omar Thomas,Female,Engineering,98200.0,12.1,False,2008-02-25,2008,17,0.6421845574387948,0.43859649122807015,0.8235294117647058,1.0804887599656596,-0.12847503762205792,1.1442385791605671,Medium
Sam White,Male,Engineering,89400.0,11.2,False,2013-09-11,2013,12,0.5593220338983051,0.3991228070175439,0.5294117647058822,0.6786163555828277,-0.2687146178038073,0.19387431075478043,Medium
Grace Smith,Male,Engineering,55800.0,14.9,False,2010-05-07,2010,15,0.24293785310734467,0.5614035087719298,0.7058823529411764,-0.8558055520607127,0.3078258784989401,0.7640928717982525,Low
Tina Thomas,Male,Sales,74900.0,5.6,True,2020-04-12,2020,5,0.4227871939736347,0.15350877192982457,0.11764705882352944,0.016440234724752218,-1.141316450045803,-1.1366356650133211,Medium
David Jackson,Female,Operations,127200.0,6.2,True,2006-10-10,2006,19,0.9152542372881356,0.17982456140350878,0.9411764705882353,2.4048410016818105,-1.0478233965913035,1.5243842865228818,High
Eve Miller,Male,Legal,97300.0,21.8,False,2012-01-07,2012,13,0.6337099811676083,0.8640350877192984,0.588235294117647,1.039388173153779,1.382995993225685,0.3839471644359378,Medium
Grace Thomas,Female,Finance,65300.0,23.8,True,2015-07-13,2015,10,0.3323917137476459,0.9517543859649125,0.411764705882353,-0.42196602460197363,1.6946395047406835,-0.18627139660753428,Medium
Olivia Taylor,Male,Marketing,109800.0,10.6,True,2017-03-07,2017,8,0.7514124293785309,0.3728070175438597,0.29411764705882354,1.6102296566521201,-0.36220767125830683,-0.566417103969849,High
Nina Brown,Male,Legal,66500.0,8.2,True,2021-06-24,2021,4,0.3436911487758945,0.2675438596491228,0.05882352941176472,-0.3671652421861329,-0.736179885076305,-1.3267085186944785,Medium
Mia Harris,Male,Marketing,60300.0,16.8,True,2012-05-17,2012,13,0.28531073446327687,0.6447368421052633,0.588235294117647,-0.65030261800131,0.6038872144381887,0.3839471644359378,Medium
Grace Taylor,Female,Sales,105700.0,11.4,True,2022-05-10,2022,3,0.7128060263653484,0.40789473684210537,0.0,1.4229936500646643,-0.2375502666523073,-1.5167813723756358,High
Sam Garcia,Female,Marketing,46200.0,2.6,False,2022-11-10,2022,3,0.15254237288135591,0.02192982456140352,0.0,-1.2942118113874386,-1.6087817173183008,-1.5167813723756358,Low
Omar Johnson,Male,Engineering,32900.0,5.6,False,2018-05-24,2018,7,0.027306967984934094,0.15350877192982457,0.23529411764705882,-1.9015871498296733,-1.141316450045803,-0.7564899576510064,Low
Jack Thomas,Male,Finance,95700.0,18.5,False,2019-01-04,2019,6,0.6186440677966101,0.7192982456140351,0.1764705882352941,0.9663204632659915,0.8687841992259373,-0.9465628113321637,Medium
Liam Wilson,Female,HR,75600.0,17.2,False,2010-01-20,2010,15,0.4293785310734463,0.6622807017543859,0.7058823529411764,0.04840735780065931,0.6662159167411882,0.7640928717982525,Medium
Uma Garcia,Male,Marketing,77800.0,2.6,True,2015-03-04,2015,10,0.4500941619585687,0.02192982456140352,0.411764705882353,0.1488754588963673,-1.6087817173183008,-0.18627139660753428,Medium
Omar Anderson,Female,Legal,67000.0,7.1,False,2017-12-22,2017,8,0.3483992467043315,0.2192982456140351,0.29411764705882354,-0.34433158284619925,-0.9075838164095542,-0.566417103969849,Medium
Leo Anderson,Female,Engineering,69800.0,7.3,False,2005-10-07,2005,20,0.3747645951035781,0.22807017543859653,1.0,-0.21646309054257087,-0.8764194652580544,1.7144571402040394,Medium
Tina Jackson,Male,HR,64900.0,17.5,True,2010-04-22,2010,15,0.32862523540489635,0.6754385964912282,0.7058823529411764,-0.44023295207392055,0.7129624434684381,0.7640928717982525,Medium
Liam Taylor,unknown,unknown,61200.0,12.4,False,2013-05-01,2013,12,0.2937853107344633,0.4517543859649123,0.5294117647058822,-0.6092020311894294,-0.08172851089480804,0.19387431075478043,Medium
Zane Miller,Non-binary,HR,66600.0,4.4,False,2012-02-12,2012,13,0.3446327683615819,0.10087719298245618,0.588235294117647,-0.36259851031814616,-1.3283025569548021,0.3839471644359378,Medium
Omar Wilson,Male,Engineering,65900.0,20.4,False,2015-08-24,2015,10,0.3380414312617703,0.8026315789473684,0.411764705882353,-0.39456563339405326,1.1648455351651856,-0.18627139660753428,Medium
Grace Jackson,Male,Operations,56800.0,6.1,False,2013-11-13,2013,12,0.2523540489642185,0.17543859649122806,0.5294117647058822,-0.8101382333808455,-1.0634055721670534,0.19387431075478043,Low
Alice Smith,Female,Operations,63000.0,17.0,False,2021-11-10,2021,4,0.3107344632768361,0.6535087719298247,0.05882352941176472,-0.5270008575656684,0.6350515655896884,-1.3267085186944785,Medium
Yara Taylor,Female,HR,30000.0,7.5,True,2016-02-15,2016,9,0.0,0.2368421052631579,0.35294117647058826,-2.0340223740012884,-0.8452551141065544,-0.3763442502886917,Low
Liam Wilson,Non-binary,Sales,90100.0,4.3,False,2018-09-27,2018,7,0.5659133709981168,0.09649122807017543,0.23529411764705882,0.7105834786587348,-1.3438847325305519,-0.7564899576510064,Medium
Tina Thomas,Female,Legal,83600.0,7.6,True,2019-02-13,2019,6,0.5047080979284368,0.24122807017543862,0.1764705882352941,0.41374590723959753,-0.8296729385308046,-0.9465628113321637,Medium
Iris Williams,Male,Legal,73100.0,18.6,False,2020-09-23,2020,5,0.40583804143126173,0.7236842105263159,0.11764705882352944,-0.06576093889900887,0.8843663748016874,-1.1366356650133211,Medium
Grace Garcia,Male,HR,80200.0,21.7,False,2005-07-22,2005,20,0.4726930320150659,0.8596491228070176,1.0,0.25847702372804876,1.3674138176499349,1.7144571402040394,Medium
Hank Taylor,Female,Marketing,81000.0,21.1,False,2014-08-22,2014,11,0.48022598870056493,0.8333333333333335,0.4705882352941177,0.2950108786719426,1.2739207641954355,0.0038014570736230663,Medium
Iris Jackson,Female,Marketing,59100.0,11.1,False,2012-11-21,2012,13,0.2740112994350283,0.39473684210526316,0.588235294117647,-0.7051034004171507,-0.28429679337955716,0.3839471644359378,Low
Eve Smith,Male,Legal,63300.0,17.4,True,2022-02-22,2022,3,0.3135593220338983,0.6710526315789473,0.0,-0.5133006619617082,0.6973802678926879,-1.5167813723756358,Medium
Sam Moore,unknown,unknown,86600.0,12.4,True,2005-07-09,2005,20,0.5329566854990584,0.4517543859649123,1.0,0.5507478632791993,-0.08172851089480804,1.7144571402040394,Medium
Leo Davis,Male,Operations,79600.0,8.7,True,2006-12-26,2006,19,0.46704331450094155,0.2894736842105263,0.9411764705882353,0.23107663252012842,-0.6582690071975554,1.5243842865228818,Medium
Olivia Taylor,Male,Sales,120000.0,22.6,True,2005-06-09,2005,20,0.847457627118644,0.8991228070175441,1.0,2.0760363071867665,1.5076533978316844,1.7144571402040394,High
Victor Harris,Male,Engineering,110600.0,2.3,False,2005-04-15,2005,20,0.7589453860640301,0.008771929824561403,1.0,1.646763511596014,-1.6555282440455505,1.7144571402040394,High
Xander Wilson,Male,Marketing,95500.0,4.0,False,2013-07-10,2013,12,0.6167608286252353,0.08333333333333334,0.5294117647058822,0.9571869995300181,-1.3906312592578018,0.19387431075478043,Medium
Tina Smith,Male,Legal,58200.0,6.8,True,2017-04-24,2017,8,0.26553672316384175,0.206140350877193,0.29411764705882354,-0.7462039872290313,-0.954330343136804,-0.566417103969849,Low
Liam Smith,Male,Operations,62600.0,2.6,False,2005-02-26,2005,20,0.30696798493408667,0.02192982456140352,1.0,-0.5452677850376153,-1.6087817173183008,1.7144571402040394,Medium
Zane Brown,Male,Finance,53000.0,6.2,False,2017-10-25,2017,8,0.2165725047080979,0.17982456140350878,0.29411764705882354,-0.9836740443643411,-1.0478233965913035,-0.566417103969849,Low
Leo Jackson,Female,Operations,81200.0,15.4,False,2011-12-10,2011,14,0.4821092278719397,0.5833333333333335,0.6470588235294117,0.30414434240791605,0.3857367563776897,0.5740200181170951,Medium
Grace Johnson,Female,Marketing,30000.0,11.7,False,2006-07-08,2006,19,0.0,0.4210526315789474,0.9411764705882353,-2.0340223740012884,-0.1908037399250577,1.5243842865228818,Low
Carol Smith,Female,Marketing,64900.0,22.5,True,2010-08-24,2010,15,0.32862523540489635,0.8947368421052633,0.7058823529411764,-0.44023295207392055,1.4920712222559342,0.7640928717982525,Medium
Eve Smith,Non-binary,Operations,68300.0,20.8,False,2011-02-16,2011,14,0.36064030131826735,0.8201754385964914,0.6470588235294117,-0.2849640685623718,1.2271742374681858,0.5740200181170951,Medium
Xander Smith,Male,Engineering,41500.0,9.9,False,2018-05-17,2018,7,0.10828625235404893,0.3421052631578948,0.23529411764705882,-1.5088482091828148,-0.4712829002885562,-0.7564899576510064,Low
Priya Smith,Male,HR,92600.0,8.0,False,2022-01-26,2022,3,0.5894538606403013,0.25877192982456143,0.0,0.8247517753584029,-0.7673442362278048,-1.5167813723756358,Medium
Bob Johnson,Female,Marketing,49900.0,10.7,True,2019-07-27,2019,6,0.1873822975517891,0.37719298245614036,0.1764705882352941,-1.1252427322719296,-0.34662549568255696,-0.9465628113321637,Low
Omar Garcia,Male,Operations,80900.0,15.6,False,2006-08-05,2006,19,0.47928436911487754,0.5921052631578947,0.9411764705882353,0.29044414680395586,0.41690110752918946,1.5243842865228818,Medium
